category,name,imgUrl,kcal,carbo,protein,fat,sFat,tFat,sugar,choles,natrium,ingredi
슬라이스,러브잇 슬라이스 훈제 닭가슴살 100g,https://file.rankingdak.com/_data/item/1453965553_l1.jpg,137.55,0.37,29.72,1.91,0.65,0,0.37,1.48,172.56,"닭고기{닭가슴살(국내산) 66.98%,토마토로제소스소스살균제품(프리미엄헌트홀토마토34.0%,토 마토쥬스31.11%,정제소금,염화칼슘,구연산],토마토페이스트18.0%(중국산:토마토100%),정제수,설 탕,양파(국내산),마늘,소스(토마토페이스트, 밀가루, 돈지,양고기, 양파), 가공유크림,옥수수기름,정제소금 조미액젓,치킨엑기스,흑후추분말,생강, 바질홀,파프리카색소5만,마늘분말,오레가노분말] 23.07%, | 정제수,KRS3(태국산/혼합제제식품첨가물 인산이전분,설탕분말),탈염유청분말(유청),함수결정포도당,설탕,정제소금,라이트히코리리퀴드스모크(식품첨가물/미국산(정제수,천연히코리스모크농축액 26%),SNMX-A(복합조미식품(탄산수소나트륨,D-소르비톨,트레할로스, 아라비아검}},포리믹스-씨에스 {혼합제제식품첨가물(폴리인산나트륨메타인산나트륨,피로인산나트륨),후추,L-글루타민산나트륨(향 미증진제) 토마토, 밀,대두, 돼지고기,쇠고기,우유,닭고기 함유"
슬라이스,러브잇 마늘 슬라이스 훈제 닭가슴살 100g,https://file.rankingdak.com/_data/item/1453965778_l1.jpg,131.68,0.23,29.27,1.52,0.89,0,0,0.76,144.7,"닭가슴살 95.05%(국내산),디앤씨스모크향염지제 4.85%[정제소금(국내산), 합성 착향로(스모크향 0.02%)] 닭고기,우유함유"
슬라이스,러브잇 메스퀴트 슬라이스 훈제 닭가슴살 100g,https://file.rankingdak.com/_data/item/1453965908_l1.jpg,133.7,0.59,30.07,1.38,0.59,0,0,1.28,138.27,"닭가슴살 94.85%(국내산), 디앤씨메스퀴트분말 3.13%[흑후추분말(베트남산), 건마 늘분말(국내산), 코리안더분말(인도산)], 동천닭가슴살 염지제-2, 정제소금(국내산) 닭고기,우유함유"
슬라이스,러브잇 윈저그라 슬라이스 훈제 닭가슴살 100g,https://file.rankingdak.com/_data/item/1512094876_l1.jpg,117.9,0.61,26.12,1.22,0.44,0,0.17,86.74,136.37,"닭가슴살 94.85%(국내산), 디앤씨마늘향염지제4.98%[정제소금(국내산),합성착 향로(로스티드갈릭향0.027%),천연착향료(마늘오일 0,0003%)],용해형마늘향신조미료 닭고기,우유함유"
슬라이스,러브잇 탄두리 슬라이스 훈제 닭가슴살 100g,https://file.rankingdak.com/_data/item/1512095703_l1.jpg,124.58,0.21,28.01,1.3,0.5,0,0.11,95.24,139.61,"닭가슴살 94.85%(국내산), 디앤씨메스퀴트분말 3.13%[흑후추분말(베트남산), 건마 늘분말(국내산), 코리안더분말(인도산)], 동천닭가슴살 염지제-2, 정제소금(국내산) 닭고기,우유함유"
육포,프로닭 닭가슴살 육포 30g,https://file.rankingdak.com/_data/item/1545106753_l1.jpg,88,6.4,14,1.7,,,,,170.7,"닭가슴살 85.01% 국내산 설당, 스윗칠리소스사양벌(국산), 양조간장(탈지 대두 외국산), 토미토케, 당근, 양 우리밀진간장(우리말(밀:국내산), 정제임 (국내산), 대두(국내산 천일염(국내산 건조효모 아로마 비에스고춧 가루, 후추가루, 효모추출물 아지토푸들분말(국내산, 생강분말(국내) 효모식, 양파분말(국산), 자몽종자추출물(보존료)"
육포,허닭 닭가슴살 육포 30g,https://file.rankingdak.com/_data/item/1502330386_l1.jpg,84,6,13,1,,,,,484,"닭가슴살(국내산)87%,정백당4.8%,D 솔비톨(보습제)2.6%, 글리신(향미증진제)1.6 %, 파프리카 0.1%, 육포시즈닝(쇠고기맛분말-21 글루타민산나트륨(향미증진제), 마늘분말,양파분말,함수포도당, 포리믹스-씨에스(복합인산염), 비프향SE-38816(합성착향료)2%, 저어 키시즈닝(무수결정포도당스모크향,올레오레진캡시컴 파프리카추출색소)0.8%, 숯불갈비맛 시즈닝(간장분말,숯불갈비맛익스,분말카라멜)0.6%,리갈브라이믹스(발색제)0.2%, 에리소르 빈산나트륨(산화방지제)0.2%,솔빈산칼륨(합성보존제10.06%,비타민C0.04%"
육포,허닭 불닭가슴살 육포 30g,https://file.rankingdak.com/_data/item/1502330917_l1.jpg,84,6,13,1,,,,,484,"닭가슴살(국내산)87 %,정백당 4%, D-솔비톨(보습제 1.8%, 글리산(향미증진제)1.6% 고추가루(중국산)1.6%,파프리카 0.1%,육포시즈닝(쇠고기맛분말 -2, 글루타민산나트륨(향 미증진제), 마늘분말,양파분말, 함수포도당포리믹스-씨에스(복합인산염), 비프향SE-38816(합 성착향료)2%, 저어키시즈닝 (무수결정포도당,스모크향올레오레진캡시컴, 파프리카추출색소 20.8%, 숯불갈비맛시즈닝(간장분말, 숯불갈비맛익스,분말카라멜00.6%,리갈브라이스(발색 제10.2%,에리소르빈산나트륨(산화방지제)0.2%, 솔빈산칼륨(합성보존제00.06%, 비타민C0.04%"
볼,맛있닭 닭가슴살볼 오리지널,https://file.rankingdak.com/_data/item/0fcf936f55b3911939cb782a3307cb47.jpg,152.66,8.76,20.75,4.98,1.31,0.03,5.8,33.83,347.76,"닭가슴살(국내산)71.11%, 양파(국내산)7.27%, 티브이피[대두단백(탈지대두/미국산)]5.22%, 바삭불고기양념장, 떡갈비시즈닝, 떡갈비시즈닝KI, 대파, 옥수수전분, 마늘, 소고기엑기스 C, 소고기육수맛분말, 참기름, 챠그릴후레바오일(향미유), 닭고기, 소고기, 대두밀, 우유, 토마토 함유"
볼,맛있닭 닭가슴살볼 깻잎맛,https://file.rankingdak.com/_data/item/1526461357_l1.jpg,125.06,7.51,22.62,1.82,0.54,0,4.6,51.24,298.97,"닭가슴살(국내산)71.49%, 깻잎(국내산)3.0% 양파(국산), 설탕, 바삭불고기양념장 {액상과당,혼합간장 [산분해간장 탈지대두(외국산 인도,미국, 중국)],양파(국산) 조미액베이스#S-51[마 늘(중국산) 물엿}, 떡갈비시즈닝, 분리대두단백, 깻잎 (국산) 3%, 복합 시즈닝KIS, 마늘, 대파, 소고기엑기스C, 참기름
닭고기, 소고기, 대두, 밀, 우유, 토마토 함유"
